"day","hour","event","arg1"
"1","0","CircuitBoardFailure",""
"1","0","CircuitBoardFailure",""
"1","1","CircuitBoardFailure",""
"1","2","CircuitBoardFailure",""
"1","2","CircuitBoardFailure",""
"1","2","CircuitBoardFailure",""
"1","3","CircuitBoardFailure",""
"1","4","CircuitBoardFailure",""
"1","5","CircuitBoardFailure",""
"1","6","CircuitBoardFailure",""
"1","2","CircuitBoardFailure",""
"1","2","CircuitBoardFailure",""
"1","3","CircuitBoardFailure",""
"1","4","CircuitBoardFailure",""
"1","5","CircuitBoardFailure",""
"1","6","CircuitBoardFailure",""
"1","2","CircuitBoardFailure",""
"1","2","CircuitBoardFailure",""
"1","3","CircuitBoardFailure",""
"1","4","CircuitBoardFailure",""
"1","5","CircuitBoardFailure",""
"1","6","CircuitBoardFailure",""
"1","0","CircuitBoardFailure",""
"1","1","CircuitBoardFailure",""
"1","2","CircuitBoardFailure",""
"1","2","CircuitBoardFailure",""
"1","2","CircuitBoardFailure",""
"1","3","CircuitBoardFailure",""
"1","4","CircuitBoardFailure",""
"1","5","CircuitBoardFailure",""
"1","6","CircuitBoardFailure",""
"1","0","CircuitBoardFailure",""
"1","1","CircuitBoardFailure",""
"1","2","CircuitBoardFailure",""
"1","2","CircuitBoardFailure",""
"1","2","CircuitBoardFailure",""
"1","3","CircuitBoardFailure",""
"1","4","CircuitBoardFailure",""
"1","5","CircuitBoardFailure",""
"1","6","CircuitBoardFailure",""
"1","9","ScenarioEnds",""